chanID,unitID,keeps,maybes,notes,mergers
193,3,,,,
193,31,,,,
194,55,,,,
194,86,,,,
195,50,,,,
195,79,,,,
196,239,,,,
196,263,,,,
197,573,,,,
197,621,,,,
198,23,,,,
198,56,,,,
199,626,,,,
199,653,,,,
199,692,,,,
199,738,,,,
200,20,,,,
200,42,,,,
201,120,,,,
201,129,,,,
201,234,,,,
202,207,,,,
202,254,,,,
203,353,,,,
203,378,,,,
204,1695,,,,
204,1761,,,,
204,1860,,,,
204,1875,,,,
204,1967,,,,
205,360,,,,
205,488,,,,
205,554,,,,
205,577,,,,
206,191,,,,
206,220,,,,
207,188,,,,
207,225,,,,
208,171,,,,
208,223,,,,
208,314,,,,
209,63,,,,
210,51,,,,
211,32,,,,
212,37,,,,
213,32,,,,
214,42,,,,
215,34,,,,
216,40,,,,
217,158,,,,
218,172,,,,
219,159,,,,
220,179,,,,
221,135,,,,
222,152,,,,
223,147,,,,
224,147,,,,
