chanID,unitID,keeps,maybes,questionables,mergers,notes
193,450,,,,,
193,685,,,,,
193,914,,low FR,,,
194,547,,,,,
194,699,,,,,
194,702,,,,,
194,720,,,,,
195,849,,,,,
195,855,,,,,
196,1093,,,,,
196,1146,1,,,,
197,1104,,,,,
197,1191,,,,,
197,1249,1,,,,
198,1178,,,,,
198,1238,,,,,
198,1253,,,,,
198,1416,,,,,
198,1735,1,,,,
199,712,,,,,
199,724,,,,,
199,735,,,,,
200,791,,,,,
200,934,1,low FR,,,
201,21,,,,,
203,47,,,,,
207,74,,,,,
207,259,,,,,
207,307,1,,,,
209,3,,,,,
209,6,,,,,
210,4,,,,,
210,7,,,,,
211,2,,,,,
211,4,,,,,
214,2,,,,,
214,3,,,,,
217,4,,,,,
218,4,,,,,
219,2,,,,,
220,2,,,,,
221,3,,,,,
221,5,,,,,
223,4,,,,,
