neur_set,region,n_neurs,context,accuracy,null_mean,pval,fold_std
keeps_plus_maybes,all,81,C1,0.625,0.5044500000000001,0.0419580419580419,0.1118033988749894
keeps_plus_maybes,all,81,C2,0.5,0.50785,0.5794205794205795,0.0684653196881457
keeps_plus_maybes,all,81,C3,0.45,0.501225,0.8151848151848152,0.0467707173346742
keeps_plus_maybes,ACC,21,C1,0.4875,0.5041125,0.6363636363636364,0.0249999999999999
keeps_plus_maybes,ACC,21,C2,0.4875,0.5049,0.6453546453546454,0.1274754878398196
keeps_plus_maybes,ACC,21,C3,0.45,0.4968,0.7712287712287712,0.1075290658380328
keeps_plus_maybes,HIP,44,C1,0.675,0.50495,0.0049950049950049,0.1075290658380328
keeps_plus_maybes,HIP,44,C2,0.425,0.50715,0.91008991008991,0.1600781059358212
keeps_plus_maybes,HIP,44,C3,0.425,0.5016875,0.8921078921078921,0.0728868986855662
keeps_plus_maybes,OFC,16,C1,0.5625,0.500075,0.2077922077922078,0.1045825033167594
keeps_plus_maybes,OFC,16,C2,0.575,0.5024375,0.1658341658341658,0.203100960115899
keeps_plus_maybes,OFC,16,C3,0.5625,0.5020749999999999,0.2077922077922078,0.1045825033167594
keeps_plus_maybes,ACC+OFC,37,C1,0.5375,0.5005625,0.3226773226773227,0.1159202311936963
keeps_plus_maybes,ACC+OFC,37,C2,0.45,0.5081,0.8381618381618382,0.1741048534648014
keeps_plus_maybes,ACC+OFC,37,C3,0.5625,0.5023500000000001,0.1928071928071928,0.0684653196881457
keeps_minus_.8Hz_filter,all,37,C1,0.7,0.5033000000000001,0.0019980019980019,0.1075290658380328
keeps_minus_.8Hz_filter,all,37,C2,0.425,0.5032625000000001,0.8911088911088911,0.1391941090707505
keeps_minus_.8Hz_filter,all,37,C3,0.6,0.500325,0.0789210789210789,0.0935414346693485
keeps_minus_.8Hz_filter,ACC,11,C1,0.575,0.50705,0.1938061938061938,0.1211919964354082
keeps_minus_.8Hz_filter,ACC,11,C2,0.525,0.5067875000000001,0.4635364635364635,0.1286953767623375
keeps_minus_.8Hz_filter,ACC,11,C3,0.5,0.4999125,0.5434565434565435,0.0684653196881457
keeps_minus_.8Hz_filter,HIP,17,C1,0.5625,0.505925,0.2357642357642357,0.0559016994374947
keeps_minus_.8Hz_filter,HIP,17,C2,0.425,0.503925,0.8741258741258742,0.0918558653543691
keeps_minus_.8Hz_filter,HIP,17,C3,0.5375,0.5026375,0.3456543456543456,0.1224744871391589
keeps_minus_.8Hz_filter,OFC,9,C1,0.5,0.50125,0.5684315684315684,0.0684653196881457
keeps_minus_.8Hz_filter,OFC,9,C2,0.4375,0.5029375,0.8491508491508492,0.125
keeps_minus_.8Hz_filter,OFC,9,C3,0.5375,0.5031875,0.3586413586413586,0.0306186217847897
keeps_minus_.8Hz_filter,ACC+OFC,20,C1,0.5125,0.5026875,0.5004995004995005,0.1
keeps_minus_.8Hz_filter,ACC+OFC,20,C2,0.4125,0.504925,0.922077922077922,0.0935414346693485
keeps_minus_.8Hz_filter,ACC+OFC,20,C3,0.5,0.5009625,0.5544455544455544,0.0684653196881457
keep_neurs,all,48,C1,0.5875,0.504225,0.11788211788211789,0.16105123408406408
keep_neurs,all,48,C2,0.5625,0.505,0.22277722277722278,0.17230060940112776
keep_neurs,all,48,C3,0.5125,0.501025,0.45854145854145856,0.04677071733467427
keep_neurs,ACC,15,C1,0.4875,0.505125,0.6383616383616384,0.09185586535436918
keep_neurs,ACC,15,C2,0.4625,0.507775,0.7852147852147852,0.1346291201783626
keep_neurs,ACC,15,C3,0.4875,0.4962125,0.5814185814185814,0.12119199643540822
keep_neurs,HIP,21,C1,0.575,0.5066124999999999,0.1888111888111888,0.09999999999999999
keep_neurs,HIP,21,C2,0.4,0.5071625000000001,0.945054945054945,0.09354143466934853
keep_neurs,HIP,21,C3,0.45,0.5033625,0.7992007992007992,0.09185586535436918
keep_neurs,OFC,12,C1,0.6,0.49982499999999996,0.08191808191808192,0.1286953767623375
keep_neurs,OFC,12,C2,0.4875,0.5019750000000001,0.6383616383616384,0.14469796128487783
keep_neurs,OFC,12,C3,0.5375,0.5011875,0.32367632367632365,0.049999999999999996
keep_neurs,ACC+OFC,27,C1,0.6625,0.5022625,0.007992007992007992,0.09354143466934853
keep_neurs,ACC+OFC,27,C2,0.45,0.5035375,0.8061938061938062,0.12747548783981963
keep_neurs,ACC+OFC,27,C3,0.575,0.4983625,0.14385614385614387,0.09185586535436917
