neur_set,region,n_neurs,context,r,pval,null_r_mean,best_pc
keeps_plus_maybes,all,81,C1,0.4253015916923828,0.106,0.0084719239509721,4
keeps_plus_maybes,all,81,C2,-0.563656986664607,0.948,-0.0242104925368883,4
keeps_plus_maybes,all,81,C3,-0.3809369187796473,0.88,0.0068902562326715,3
keeps_plus_maybes,ACC,21,C1,-0.2328043680861978,0.742,-0.0117845794452835,4
keeps_plus_maybes,ACC,21,C2,-0.418624905773324,0.9,0.0142284316657554,4
keeps_plus_maybes,ACC,21,C3,-0.3978040826585055,0.874,0.005867687868405,3
keeps_plus_maybes,HIP,44,C1,-0.0598050672066848,0.546,-0.0184027286741331,3
keeps_plus_maybes,HIP,44,C2,0.0993484663565404,0.386,-0.0095961010187949,2
keeps_plus_maybes,HIP,44,C3,-0.4931961603918891,0.95,0.0102225142998544,3
keeps_plus_maybes,OFC,16,C1,0.5482894698496912,0.066,0.0169620748949877,3
keeps_plus_maybes,OFC,16,C2,0.6068552108522192,0.04,0.0034237018215042,5
keeps_plus_maybes,OFC,16,C3,0.0924389666136309,0.436,0.0189055146146206,2
keeps_plus_maybes,ACC+OFC,37,C1,0.1264758675834695,0.36,-0.0008189947036758,2
keeps_plus_maybes,ACC+OFC,37,C2,-0.4933721542748566,0.92,0.0012618950643897,2
keeps_plus_maybes,ACC+OFC,37,C3,-0.1150592729215999,0.646,0.0035842489585767,2
keeps_minus_.8Hz_filter,all,37,C1,-0.1326354369914021,0.632,0.0117893234469083,2
keeps_minus_.8Hz_filter,all,37,C2,-0.1556329203763589,0.668,-0.0037660143361886,5
keeps_minus_.8Hz_filter,all,37,C3,-0.0508421934910557,0.562,-0.010202610546494,5
keeps_minus_.8Hz_filter,ACC,11,C1,0.2655395962983524,0.21,-0.0018645733525761,3
keeps_minus_.8Hz_filter,ACC,11,C2,0.2072491497125625,0.318,0.0181706680476254,2
keeps_minus_.8Hz_filter,ACC,11,C3,0.0598144007912443,0.452,0.0131183915515782,2
keeps_minus_.8Hz_filter,HIP,17,C1,-0.0592485511132025,0.584,0.0030530633983498,1
keeps_minus_.8Hz_filter,HIP,17,C2,0.4617804815940965,0.11,0.018437103183302,5
keeps_minus_.8Hz_filter,HIP,17,C3,0.212619421911435,0.282,0.000795586317221,4
keeps_minus_.8Hz_filter,OFC,9,C1,0.0862715915323418,0.428,8.43929446484486e-05,2
keeps_minus_.8Hz_filter,OFC,9,C2,-0.4372834728290308,0.868,-0.0301004324292532,4
keeps_minus_.8Hz_filter,OFC,9,C3,-0.2824568313865643,0.79,0.0057709192347832,5
keeps_minus_.8Hz_filter,ACC+OFC,20,C1,0.0093426892326094,0.476,-0.0164367838977478,2
keeps_minus_.8Hz_filter,ACC+OFC,20,C2,0.3296745563959573,0.182,-0.0045683084933861,5
keeps_minus_.8Hz_filter,ACC+OFC,20,C3,-0.3225778501011079,0.846,0.0172106069243255,4
keep_neurs,all,48,C1,-0.029258964335582976,0.538,0.0091700019205265,3
keep_neurs,all,48,C2,0.2755923856101786,0.22,-0.00200400571140506,3
keep_neurs,all,48,C3,-0.20431673897219527,0.758,0.014971345338497767,3
keep_neurs,ACC,15,C1,0.02319148018156794,0.442,-0.02987449570756597,4
keep_neurs,ACC,15,C2,-0.2134186851489303,0.73,0.008213166299621197,5
keep_neurs,ACC,15,C3,0.11805830801620862,0.382,0.01965846405474496,2
keep_neurs,HIP,21,C1,0.25853553067818463,0.256,0.008519620545143634,5
keep_neurs,HIP,21,C2,0.1024257215022924,0.39,0.005789960935217686,4
keep_neurs,HIP,21,C3,-0.09801494783726733,0.614,-0.00023017394994558594,5
keep_neurs,OFC,12,C1,0.21914759865560085,0.284,0.0072525206293855,3
keep_neurs,OFC,12,C2,-0.20163405578078228,0.684,-0.018492369165808382,5
keep_neurs,OFC,12,C3,-0.4232542734674575,0.884,0.010069548037536876,4
keep_neurs,ACC+OFC,27,C1,-0.07824274915751381,0.554,-0.024003695405928543,3
keep_neurs,ACC+OFC,27,C2,0.06700457340570792,0.414,-0.011742530873141376,2
keep_neurs,ACC+OFC,27,C3,-0.022236713282175247,0.502,-0.018838675593400352,2
