neur_set,region,n_neurs,context,PC1,PC2,PC3
keeps_plus_maybes,all,81,all contexts,0.1025286311380051,0.0976025712332067,0.0767764293105541
keeps_plus_maybes,ACC,21,all contexts,0.1575157924217556,0.1109166450602881,0.106054314104759
keeps_plus_maybes,HIP,44,all contexts,0.1358306640636632,0.1221148019141837,0.0923085625682898
keeps_plus_maybes,OFC,16,all contexts,0.1671629053250046,0.1376646547551752,0.117824987411134
keeps_plus_maybes,ACC+OFC,37,all contexts,0.1255697843419888,0.1016118540666752,0.0933909495615474
keeps_plus_maybes,all,81,C1,0.2240123831868205,0.1737637890506558,
keeps_plus_maybes,all,81,C2,0.1954123441710615,0.15356240810566,
keeps_plus_maybes,all,81,C3,0.1636917125290193,0.159653478667258,
keeps_plus_maybes,ACC,21,C1,0.2496294121560209,0.2379314050723454,
keeps_plus_maybes,ACC,21,C2,0.2447431875924998,0.2137873189954628,
keeps_plus_maybes,ACC,21,C3,0.2592331259775994,0.2351974441960423,
keeps_plus_maybes,HIP,44,C1,0.2560425156907132,0.1745346414801173,
keeps_plus_maybes,HIP,44,C2,0.2692945765692865,0.1926836454114646,
keeps_plus_maybes,HIP,44,C3,0.1884222347640309,0.177720742590358,
keeps_plus_maybes,OFC,16,C1,0.2596278430975548,0.2453046272781811,
keeps_plus_maybes,OFC,16,C2,0.2785788570885804,0.2050218779864742,
keeps_plus_maybes,OFC,16,C3,0.2127981718815978,0.1979867022644031,
keeps_plus_maybes,ACC+OFC,37,C1,0.2314206795328667,0.2063020300232992,
keeps_plus_maybes,ACC+OFC,37,C2,0.213587664051519,0.1878208898619061,
keeps_plus_maybes,ACC+OFC,37,C3,0.2116292846999702,0.1808428791572969,
keeps_minus_.8Hz_filter,all,37,all contexts,0.1187551592549363,0.1125408701128957,0.0958561391610939
keeps_minus_.8Hz_filter,ACC,11,all contexts,0.1862860390640374,0.1647849506469465,0.1461929147384976
keeps_minus_.8Hz_filter,HIP,17,all contexts,0.1786154640363054,0.1365694704005851,0.1170596037848584
keeps_minus_.8Hz_filter,OFC,9,all contexts,0.2414033176668512,0.2002882897192374,0.1536207273218811
keeps_minus_.8Hz_filter,ACC+OFC,20,all contexts,0.163365790939602,0.1424589729386357,0.125658507185983
keeps_minus_.8Hz_filter,all,37,C1,0.2218877307355932,0.1942934426977502,
keeps_minus_.8Hz_filter,all,37,C2,0.2039102525660015,0.2009414152230134,
keeps_minus_.8Hz_filter,all,37,C3,0.2578479020345454,0.1743700858518002,
keeps_minus_.8Hz_filter,ACC,11,C1,0.2975939180817394,0.2493566286699615,
keeps_minus_.8Hz_filter,ACC,11,C2,0.3249047697291554,0.2954273797398362,
keeps_minus_.8Hz_filter,ACC,11,C3,0.4002768791032979,0.2296529094475241,
keeps_minus_.8Hz_filter,HIP,17,C1,0.291118861504434,0.1930145326024792,
keeps_minus_.8Hz_filter,HIP,17,C2,0.2764687925483577,0.2633478719472764,
keeps_minus_.8Hz_filter,HIP,17,C3,0.2443213629296428,0.2269611400132827,
keeps_minus_.8Hz_filter,OFC,9,C1,0.3409786211290175,0.2508666724906902,
keeps_minus_.8Hz_filter,OFC,9,C2,0.4220051520595357,0.2621715460246171,
keeps_minus_.8Hz_filter,OFC,9,C3,0.3963362673404945,0.2116717710140367,
keeps_minus_.8Hz_filter,ACC+OFC,20,C1,0.2643540172643335,0.196567238558447,
keeps_minus_.8Hz_filter,ACC+OFC,20,C2,0.3069265275541835,0.2219277440292216,
keeps_minus_.8Hz_filter,ACC+OFC,20,C3,0.3337547875903295,0.1740559297551619,
keep_neurs,all,48,all contexts,0.10853839762828489,0.1024189390898764,0.07950644241024747
keep_neurs,ACC,15,all contexts,0.15858003463057335,0.1420046660744432,0.13605491803079736
keep_neurs,HIP,21,all contexts,0.15389652032252832,0.1339150090223033,0.12527230900489045
keep_neurs,OFC,12,all contexts,0.1943906643805015,0.1495935312956662,0.14033652960133836
keep_neurs,ACC+OFC,27,all contexts,0.14230719769237504,0.11725287318640445,0.10127965824885517
keep_neurs,all,48,C1,0.2153609688726769,0.17449092596319302,
keep_neurs,all,48,C2,0.21883095062354493,0.17073465460841247,
keep_neurs,all,48,C3,0.2230606594005103,0.16531858452743686,
keep_neurs,ACC,15,C1,0.2749012897138244,0.24517879310574878,
keep_neurs,ACC,15,C2,0.3453626160775963,0.22686081597488553,
keep_neurs,ACC,15,C3,0.29455605333668683,0.22971101665466337,
keep_neurs,HIP,21,C1,0.27088477696468416,0.21669517859529377,
keep_neurs,HIP,21,C2,0.31800157152034897,0.20481451866079,
keep_neurs,HIP,21,C3,0.24008597994702235,0.22074287842448825,
keep_neurs,OFC,12,C1,0.2865187311479734,0.22047569881629864,
keep_neurs,OFC,12,C2,0.3335484146928136,0.27382315276668906,
keep_neurs,OFC,12,C3,0.26493205677017023,0.23043632959979027,
keep_neurs,ACC+OFC,27,C1,0.21911415335773676,0.19962442785327844,
keep_neurs,ACC+OFC,27,C2,0.2573598790529606,0.23250045188236435,
keep_neurs,ACC+OFC,27,C3,0.24786368806320946,0.18017323997202067,
